Week,TV_SPD,TV_GRP,TV_EQGRP,US_Rad_GRPS,US_Rad_spd,SrBrd_Imp,SrBrd_Clks,SrBrd_Cost,SrNonBrd_Imp,SrNonBrd_Clks,SrNonBrd_Cost,SNAP_IMP,SNAP_SPD,SNAP_FilViews,DIS_COST,DIS_IMP,DIS_CLK,ONLV_COST,ONLV_IMP,ONLV_CLK,ONLV_Vid_comp,ONLV_Vid25pct,ONLV_Vid50pct,ONLV_Vid75pct,ONLV_Vid_start,OOH_SPD,OOH_IMP,Trade_mag_SPD,US_Mag2149,US_Mag_21plus,US_Tw_imps,US_Tw_eng,US_Tw_vidviews,US_Tw_spend,US_YT_Imps,US_YT_Spend,US_YT_percinview,US_Abs_CEQTVGRPs,US_CapMorg_CEQTVGRP_21pluss,US_CR_CEQTVGRP_21pluss,US_JD_CEQTVGRP_21pluss,US_Jag_CEQTVGRP_21pluss,US_JW_CEQTVGRP_21pluss,US_Mal_CEQTVGRP_21pluss,US_Smir_CEQTVGRP_21pluss,US_AdInt_CEQGRP_21plus,US_Abs_CEQTVGRP_2149s,US_CapMorg_CEQTVGRP_2149s,US_CR_CEQTVGRP_2149s,US_JD_CEQTVGRP_2149s,US_Jag_CEQTVGRP_2149s,US_JW_CEQTVGRP_2149s,US_Mal_CEQTVGRP_2149s,US_Smir_CEQTVGRP_2149s,US_AdInt_CEQGRP_2149,US_Absolut_Mag21plus,US_CapMorg_Mag_21plus,US_CR_Mag21plus,US_JD_Mag21plus,US_Jag_Mag21plus,US_JW_Mag21plus,US_RZC_Mag21plus,US_Smir_Mag21plus,US_Absolut_Mag2149,US_CapMorg_Mag_2149,US_CR_Mag2149,US_JD_Mag2149,US_Jag_Mag2149,US_JW_Mag2149,US_RZC_Mag2149,US_Smir_Mag2149,FamiliarityCol123,FamiliarityCol12,FamiliarityCol1,Avg_Brand_Consumption,Brand_Consumption4_weeks,Brand_Consumption12m,Imagery,Desire,KPI,AvgPriceEQ9L,AvgBasePriceEQ9L,AvgPromoPriceEQ9L,FD,Feature,Display,TPR,ACV0_food,ACV1_food,maxACV_food,maxACV_clubs,ACV0_drug,ACV1_drug,maxACV_drug,ACV0_clubs,ACV1_clubs,ACV0_mass,ACV1_mass,maxACV_mass,ACV0_liquor,ACV1_liquor,maxACV_liquor,TDP0_food,TDP1_food,TDP0_liquor,TDP1_liquor,TDP0_clubs,TDP1_clubs,TDP0_drug,TDP1_drug,TDP1_mass,TDP0_mass,UnitsEQ9L_category,N0_food,N1_food,seasonal_cat,trend_cat,fb_total_spd,ig_total_spd,fb_total_imp,ig_total_imp,maxACV_D,maxACV_F,maxACV_TPR,PR,dum_Mar_2017,dum_Feb_2017,dum_Feb_2016,disp_olv_imp,RelAVG_P_CapM,RelAVG_P_Malib,ACV0_new,ACV1_new,BACARDI_SUPERIOR_RUM_ACVF,shelf_price,US_Rad_iHeart_GRP,Year,seasonID_cat
1/5/2015,0,0,0,19.67431524,52340.8701,73357,1409,3651.32,71990,3657,4226.76,0,0,0,34976.49558,5382352.194,1860.946702,NA,NA,NA,0,0,0,0,0,0,0,0,0.06,0.046,0,0,0,0,0,0,0,0,0,2.299981157,0.694468847,0,16.254,0,12.059,0,0,0,2.573674231,0.638666972,0,13.666,0,14.47,0,0.347,0,0.046,0,0,1.116,0,0,0.347,0,0.06,0,0,1.304,0,0,0.744897959,0.503401361,0.236394558,0.256058673,0.118551587,0.39356576,0.435267857,41.8667098,8186.55,126.1931742,127.4445684,113.456729,0,-11.02445844,-1.290583582,-8.936542591,0.067525688,0.138762308,0.80578,0.91042,0.042781707,0.103486061,0.6661,0.095985417,0.120184737,0.087626721,0.1455225,0.73216,0.146335726,0.180539,0.93697,736.03,721.564,837.3185321,1387.623077,230.365,228.351,350.81,341.504,523.881,534.523,21068.41,109,52,-10834.95757,27723.49018,4199.91,0,1249329,0,26.648,16.204,19.984,0,0,0,0,0,0.764888975,0.930147204,4.568697253,9.438163492,31.257,114.5800396,0.277902796,Y2015,-7189.451379
1/12/2015,0,0,0,19.67431524,52340.8701,18574,493,1053.55,69518,3891,4869.94,0,0,0,27365.78995,3430396.598,805.3143491,NA,NA,NA,0,0,0,0,0,0,0,0,0.051,0.04,0,0,0,0,0,0,0,0,0,2.05,6.237934999,0,0,0,7.065,0,0,0,2.2995,7.980222428,0,0,0,8.31,0,0.244,0,0.04,0,0,0.817,0,0,0.246,0,0.051,0,0,0.958,0,0,0.744897959,0.503401361,0.236394558,0.256058673,0.118551587,0.39356576,0.435267857,41.8667098,9059.56,127.3943762,127.7805452,115.8188565,0,-9.335076863,-2.041767331,-5.820874137,0.064423333,0.128567358,0.79427,0.91365,0.042271279,0.116796333,0.69929,0.088661111,0.108070909,0.083261343,0.147936757,0.75853,0.152109593,0.195680526,0.93806,695.772,681.407,792.407,1221.389906,239.385,237.756,363.533,350.389,547.366,557.851,23280.35,108,53,-14279.15676,27723.8641,6929.39,0,1601231,0,34.553,10.58,9.251,0,0,0,0,0,0.739443354,0.940634007,4.30965293,8.902873016,31.02171429,113.4903804,6.120374529,Y2015,-4645.302425
1/19/2015,0,0,0,19.67431524,52340.8701,13317,414,754.23,62463,3845,4958.59,0,0,0,27345.5712,3196243.765,664.6893491,NA,NA,NA,0,0,0,0,0,0,0,0,0.163,0.126,0,0,0,0,0,0,0,0,0,1.79,23.7721633,0,0,0,1.609,0,0,0,2.0105,24.05780531,0,0,0,1.847,0,0.294,0,0.033,0,0,0.762,0,0,0.323,0,0.043,0,0,0.905,0,0,0.744897959,0.503401361,0.236394558,0.256058673,0.118551587,0.39356576,0.435267857,41.8667098,8819.87,127.0169599,128.5606903,114.782927,0,-9.884206891,-3.221479181,-7.511668428,0.065373084,0.129596415,0.78944,0.91555,0.04549675,0.107138182,0.68665,0.088242963,0.1182245,0.084422727,0.147567027,0.76092,0.152678548,0.196170104,0.93881,699.492,686.861,810.626243,1244.125585,238.256,236.449,363.974,353.556,545.998,557.19,22567.98,107,53,-13168.83376,27724.23801,6536.33,0,1294955,0,33.36,15.506,12.377,0,0,0,0,0,0.718678017,0.941308139,4.680358333,8.916911111,30.77342857,114.271832,0.139493755,Y2015,-4963.691743
1/26/2015,0,0,0,19.67431524,52340.8701,13573,402,708.06,66328,4060,5073.28,0,0,0,26837.96675,3147033.004,664.6893491,NA,NA,NA,0,0,0,0,0,0,0,26494,0.239,0.186,0,0,0,0,0,0,0,0,0,18.7475,24.75280822,0,0,0,0,0,0,0,20.995,23.80483179,0,0,0,0,0,0.318,0,0.027,0,0,0.547,0,0,0.365,0,0.034,0,0,0.662,0,0,0.740802676,0.486622074,0.202341137,0.24726519,0.109195002,0.385335377,0.449243012,43.43897528,10645.72,126.0853412,128.1156348,114.5231387,0,-8.644468088,-3.431959812,-7.567492738,0.067155094,0.134144231,0.79637,0.91785,0.040654045,0.112689355,0.67909,0.091528462,0.117475,0.088925313,0.136953659,0.77383,0.164130417,0.203714792,0.94694,711.844,697.55,805.8611321,1287.784615,237.974,234.95,361.821,349.337,561.51,569.122,26602.41,106,52,-10393.3124,27724.61193,5389.78,0,813092,0,30.925,19.978,13.454,0,0,0,0,0,0.7217442,0.928467411,4.763286012,9.073155357,31.43771429,112.0719156,5.916132499,Y2015,-3491.380604
2/2/2015,0,0,0,19.67431524,52340.8701,13820,387,861.18,65493,3772,4831.67,0,0,0,23792.34008,2851768.443,664.6893491,NA,NA,NA,0,0,0,0,0,0,0,0,0.163,0.126,0,0,0,0,0,0,0,0,0,15.2345,0.078633233,0,0,0,0,0,0,0,16.1385,0.092132295,0,0,0,0,0,0.246,0,0.02,0,0,0.278,0,0,0.277,0,0.026,0,0,0.345,0,0,0.740802676,0.486622074,0.202341137,0.254437048,0.104480323,0.404393773,0.48887863,44.74716815,9147.43,125.0842541,128.5880195,112.5583904,0,-11.44115937,-6.376115703,-8.666660415,0.064740357,0.134044528,0.81024,0.91785,0.043909398,0.110101875,0.68233,0.0960348,0.113303333,0.087173134,0.155017568,0.77209,0.151929431,0.195271263,0.93461,725.092,710.436,796.3063929,1273.423019,240.087,237.937,364.448,352.326,573.565,584.06,22230.61,112,53,-7276.34211,27724.98585,10340.52,0,1528865,0,21.381,17.369,15.332,0,0,0,0,0,0.726235159,0.926787749,4.501045696,9.27532123,31.147,112.838016,0.184185273,Y2015,-3384.448371
2/9/2015,0,0,0,19.67431524,52340.8701,16532,421,818,67936,4014,5205.02,0,0,0,23792.34008,2851768.443,664.6893491,NA,NA,NA,0,0,0,0,0,0,0,0,0.129,0.099,0,0,0,0,0,0,0,0,0,9.879,22.87433841,0,0,0,0,0,0,0,10.4545,20.72846526,0,0,0,0,0,0.172,0,0.02,0,0,2.87,0,0,0.197,0,0.026,0,0,3.441,0,0,0.740802676,0.486622074,0.202341137,0.254437048,0.104480323,0.404393773,0.48887863,44.74716815,10152.7,126.1393069,129.7953446,113.8023222,0,-16.66092168,-7.576869951,-8.867186338,0.065328273,0.126181786,0.81133,0.91785,0.042695114,0.107183529,0.69591,0.088983333,0.118386,0.090620462,0.156134865,0.77603,0.154025547,0.199926735,0.93462,718.611,706.618,836.2018909,1236.5815,240.255,236.772,375.717,364.424,577.699,589.033,24750.15,110,56,-7449.488689,27725.35976,13992.37,0,2143360,0,35.175,23.434,13.481,0,0,0,0,0,0.72619446,0.920590772,4.635449238,9.205491468,30.91871429,113.9782547,6.541615301,Y2015,-3901.528437
2/16/2015,0,0,0,19.67431524,52340.8701,17571,464,797.27,66796,4062,5273,0,0,0,23792.34008,2851768.443,664.6893491,NA,NA,NA,0,0,0,0,0,0,0,0,0.085,0.066,0,0,0,0,0,0,0,0,0,10.7175,0.258049329,0,0,0,0,0,0,0,11.2805,0.317500347,0,0,0,0,0,0.126,0,0,0,0,2.163,0,0,0.143,0,0,0,0,2.609,0,0,0.740802676,0.486622074,0.202341137,0.254437048,0.104480323,0.404393773,0.48887863,44.74716815,9500.51,126.5216623,130.3505455,115.2510224,0,-7.274279554,-9.573143943,-9.828488276,0.069219333,0.134420943,0.81079,0.91785,0.044875663,0.11286875,0.69356,0.092605,0.108757727,0.084641449,0.147341538,0.77309,0.152958306,0.198647158,0.93557,726.803,712.431,858.3197333,1276.998962,240.773,239.267,372.468,361.18,574.632,584.026,23281.57,105,53,-11049.33952,27725.73368,12020.08,0,1784716,0,32.417,9.939,19.712,0,0,0,0,0,0.723238585,0.923681198,4.895654762,8.691785714,31.26028571,111.0100189,0.007790394,Y2015,-4236.302088
2/23/2015,0,0,0,19.67431524,52340.8701,13841,353,740.37,65475,4116,5205.28,0,0,0,23792.34008,2851768.443,664.6893491,NA,NA,NA,0,0,0,0,0,0,0,0,0.068,0.053,0,0,0,0,0,0,0,0,0,2.733,26.4125,0,0,0,0,0,0,0,2.497,24.8475,0,0,0,0,0,0.101,0,0,0,0,1.124,0,0,0.114,0,0,0,0,1.376,0,0,0.754237288,0.496610169,0.254237288,0.243312395,0.098380896,0.388243895,0.490641974,45.46046459,10227.11,126.1859743,130.2683889,114.0024067,0,-11.74318053,-7.500972838,-10.21763667,0.065884444,0.1390836,0.79588,0.91586,0.042725977,0.112272813,0.68507,0.084560714,0.11142619,0.08643697,0.14761,0.77545,0.149054048,0.194180104,0.93167,711.552,695.418,830.144,1335.20256,236.77,233.995,371.716,359.273,560.918,570.484,24768.43,108,50,-10155.63069,27726.1076,14413.57,0,2235988,0,30.071,14.342,15.711,0,0,0,0,0,0.729502969,0.926119107,4.773491369,9.126441071,31.022,110.4707806,6.592616774,Y2015,-3503.163562
3/2/2015,0,0,0,19.67431524,52340.8701,14725,414,770.97,81601,5161,6229.58,0,0,0,37792.34008,6037159.976,28570.42268,NA,NA,NA,0,0,0,0,0,0,0,0,0.06,0.046,0,0,0,0,0,0,0,0,0,0.354,0.2405,0,0,0,0,0,0,0,0.327,0.2275,0,0,0,0,0,0.082,0,0,0,0,0.866,0,0,0.094,0,0,0,0,1.062,0,0,0.754237288,0.496610169,0.254237288,0.237352143,0.095427313,0.379276973,0.483129803,44.9343513,9688.1,125.5945559,129.6281667,109.753291,0,-9.815523197,-7.67498869,-9.984051567,0.066449722,0.143039796,0.80382,0.91811,0.041181724,0.105160909,0.65149,0.092774231,0.113746667,0.090766094,0.1432845,0.77708,0.15346064,0.198420313,0.93075,717.657,700.895,830.6215278,1373.182041,241.213,238.868,358.281,347.031,573.138,580.903,23493.23,108,49,-9609.956314,27726.48152,14703.72,0,2341383,0,31.537,10.465,24.718,0,0,0,0,0,0.733299967,0.927285124,4.623624952,9.198440873,31.07114286,111.3563331,0.050459226,Y2015,-3974.421304
3/9/2015,0,0,0,19.67431524,52340.8701,250553,9820,24648.95,78712,5308,6630.66,0,0,0,37792.34008,7175992.431,28570.42268,NA,NA,NA,0,0,0,0,0,0,0,0,0.051,0.04,0,0,0,0,0,0,0,0,0,1.416,6.95,0,0,0,0,0,0,0,1.757,8.718,0,0,0,0,0,0.076,0,0,0,0,0.645,0,0,0.086,0,0,0,0,0.796,0,0,0.754237288,0.496610169,0.254237288,0.237352143,0.095427313,0.379276973,0.483129803,44.9343513,9481.91,125.7575716,129.9069509,109.3795651,0,-13.68603449,-7.320116797,-8.320218833,0.067424717,0.129826481,0.80065,0.91811,0.042415294,0.105841818,0.66653,0.085010357,0.112008095,0.088818333,0.148196923,0.76728,0.153632419,0.197273021,0.9333,714.702,701.063,836.0664906,1246.334222,238.029,235.217,360.53,349.278,577.968,586.201,24296.34,106,54,-8573.155748,27726.85543,13612.63,0,1901840,0,27.949,10.599,23.595,0,0,0,0,0,0.754579695,0.926124837,4.599884762,9.13102381,31.05657143,112.9912589,7.619184132,Y2015,-4000.012064
